text
Очень приятно )
Он даже мой сайт показывает первым \:)
"Лол, гугл знает про TWL"
"Но ладно, всё равно не поменяю. И к слову, если я релизну teewars classic (а пока это просто идея), то там будет домен teewarsclassic.com.ua или же просто в зоне com"
А может вообще тогда legacy.tw?
"Блин, почему никто не читает?"
"И да, исполняймый файл теперь twlegacy а не teewarslegacy (я посчитал второй очень длинным)"
Теперь мейкфайл генерируется автоматически
Добавил поддержку autotools
"Нет, это TWL"
Олдскульно или нет?
Как вам?
Короче говоря закончил декорировать дм 1
"И да, не забывайте то что TWR заброшен (не TWL)"
"Хотя ладно, мне нужно закончить Teewars legacy"
"Хотя ладно, пусть будет на 0.5 базе"
Но мод будет на базе 0.4
"И да, если я его сделаю там может быть мост с 0.4 до 0.5 серверов"
"И то если я сделаю Teewars Classic там будут минимальные изменения в интерфейсе (тоесть новое меню, новый список серверов, просто кайфовый мод что бы вспомнить 0.4-0.5)"
"Как идея превратить дилогию Teewars Legacy, teewars reload в трилогию? А именно сделать Teewars Classic (минимальные клиентские изменения в отличии от остальных, но зато с кастомными олдскулл серверами)"
А если серь'зно то это впн
"Ребзики, я переехал в канаду"
Капец какие агресивные чуваки в комьюнити молука
"И это 20 доларов стоит, ЛОЛ"
"ВАУ, МОЖНО КУПИТЬ СТАРЫЙ ДОМЕН ТИКОМЬЮНИТИ"
"Ладно, попробую скачать на линукс"
"И да, неудобный вопрос, но смогу ли я поучатсвовать в бета тесте или нет"
?
"Ок, только это в твоём дискорде"
"Да, есть желание посмотреть, только если я попаду в войс я ничего говорить не буду потому что микрофон в ноутбуке сломан"
"https://www.youtube.com/watch?v=XWkpvgJhQlw

К слову раньше в тишку планировали добавить склоны"
А я вижу то что прогресс идёт очень быстро по Teewars Legacy
Короче говоря знаете что? Когда я релизну TWL то тогда мы сделаем сходку
"WOW, Я добавил градиент, и теперь это так красиво выглядит"
"И к слову, я думаю устроить новый конкурс по созданию карты для TWL"
Типо что это за херня?
Хотя в первой бете RoWars2d были хуже
"Добавил горы в TWL, как по мне выглядят отвратительно"
Или нет?
К слову. А вот всё таки кто то записал видео про тот челендж с прятками?
"Да, сделаный на коленке мод"
https://github.com/zabidenhtf/EmptyTeeworlds
"Всё, я релизнул мод"
